"날짜","종가","시가","고가","저가","거래량","변동 %"
"2010- 06- 29","1,707.76","1,735.31","1,739.97","1,703.47","381.28M","-1.40%"
"2010- 06- 28","1,732.03","1,734.53","1,735.27","1,726.25","346.98M","0.13%"
"2010- 06- 25","1,729.84","1,721.53","1,733.70","1,719.08","303.71M","-0.58%"
"2010- 06- 24","1,739.87","1,724.85","1,739.87","1,721.72","313.78M","0.81%"
"2010- 06- 23","1,725.82","1,722.52","1,731.78","1,721.41","371.81M","-0.33%"
"2010- 06- 22","1,731.48","1,727.96","1,734.42","1,723.96","404.66M","-0.47%"
"2010- 06- 21","1,739.68","1,728.37","1,741.48","1,723.77","391.91M","1.62%"
"2010- 06- 18","1,711.95","1,710.40","1,712.35","1,701.92","293.74M","0.24%"
"2010- 06- 17","1,707.92","1,707.29","1,711.48","1,701.28","369.77M","0.15%"
"2010- 06- 16","1,705.33","1,707.98","1,710.57","1,694.92","379.96M","0.91%"
"2010- 06- 15","1,690.03","1,687.85","1,696.74","1,684.52","347.78M","-0.03%"
"2010- 06- 14","1,690.60","1,683.29","1,698.21","1,681.95","373.94M","0.91%"
"2010- 06- 11","1,675.34","1,674.61","1,681.70","1,662.75","369.42M","1.43%"
"2010- 06- 10","1,651.70","1,651.92","1,662.32","1,643.71","307.93M","0.27%"
"2010- 06- 09","1,647.22","1,653.12","1,655.61","1,638.38","315.11M","-0.26%"
"2010- 06- 08","1,651.48","1,635.01","1,656.37","1,630.43","280.29M","0.82%"
"2010- 06- 07","1,637.97","1,628.06","1,638.88","1,618.57","300.88M","-1.57%"
"2010- 06- 04","1,664.13","1,660.99","1,670.94","1,658.52","286.09M","0.14%"
"2010- 06- 03","1,661.84","1,643.74","1,663.67","1,641.77","308.76M","1.93%"
"2010- 06- 01","1,630.40","1,634.55","1,643.08","1,623.40","314.10M","-0.66%"
"2010- 05- 31","1,641.25","1,625.08","1,641.25","1,621.09","299.38M","1.14%"
"2010- 05- 28","1,622.78","1,630.14","1,630.18","1,606.76","315.90M","0.95%"
"2010- 05- 27","1,607.50","1,565.59","1,611.59","1,565.40","357.56M","1.60%"
"2010- 05- 26","1,582.12","1,575.29","1,582.12","1,549.65","358.16M","1.36%"
"2010- 05- 25","1,560.83","1,585.17","1,585.60","1,532.68","475.23M","-2.75%"
"2010- 05- 24","1,604.93","1,589.83","1,612.91","1,585.62","270.82M","0.30%"
"2010- 05- 20","1,600.18","1,624.17","1,640.47","1,591.93","358.18M","-1.83%"
"2010- 05- 19","1,630.08","1,621.32","1,630.31","1,601.54","417.50M","-0.80%"
"2010- 05- 18","1,643.24","1,662.31","1,663.15","1,629.35","493.34M","-0.50%"
"2010- 05- 17","1,651.51","1,668.57","1,673.01","1,644.71","402.48M","-2.60%"
"2010- 05- 14","1,695.63","1,685.75","1,699.59","1,677.44","432.90M","0.06%"
"2010- 05- 13","1,694.58","1,683.76","1,700.00","1,682.91","400.38M","1.90%"
"2010- 05- 12","1,663.03","1,678.79","1,680.16","1,657.67","453.19M","-0.43%"
"2010- 05- 11","1,670.24","1,692.40","1,692.40","1,661.71","457.06M","-0.44%"
"2010- 05- 10","1,677.63","1,661.61","1,679.58","1,654.41","383.50M","1.83%"
"2010- 05- 07","1,647.50","1,632.45","1,658.30","1,625.83","456.38M","-2.21%"
"2010- 05- 06","1,684.71","1,679.79","1,689.16","1,674.11","448.57M","-1.98%"
"2010- 05- 04","1,718.75","1,730.57","1,734.47","1,714.17","380.99M","-0.14%"
"2010- 05- 03","1,721.21","1,735.68","1,740.15","1,709.81","414.10M","-1.17%"
"2010- 04- 30","1,741.56","1,742.32","1,749.69","1,739.81","412.07M","0.76%"
"2010- 04- 29","1,728.42","1,738.77","1,738.77","1,720.67","446.71M","-0.32%"
"2010- 04- 28","1,733.91","1,716.17","1,733.91","1,714.53","399.81M","-0.89%"
"2010- 04- 27","1,749.55","1,748.84","1,756.15","1,742.27","432.38M","-0.15%"
"2010- 04- 26","1,752.20","1,745.98","1,757.76","1,745.80","420.57M","0.87%"
"2010- 04- 23","1,737.03","1,747.92","1,748.46","1,732.88","463.21M","-0.14%"
"2010- 04- 22","1,739.52","1,737.29","1,740.04","1,727.61","528.08M","-0.46%"
"2010- 04- 21","1,747.58","1,730.37","1,748.19","1,729.77","535.04M","1.72%"
"2010- 04- 20","1,718.03","1,715.83","1,721.36","1,710.18","522.27M","0.75%"
"2010- 04- 19","1,705.30","1,708.39","1,720.03","1,700.69","367.56M","-1.68%"
"2010- 04- 16","1,734.49","1,742.24","1,743.65","1,723.28","381.11M","-0.54%"
"2010- 04- 15","1,743.91","1,745.52","1,747.38","1,729.59","464.87M","0.49%"
"2010- 04- 14","1,735.33","1,720.42","1,735.33","1,720.42","431.59M","1.45%"
"2010- 04- 13","1,710.59","1,714.96","1,716.09","1,699.58","369.62M","0.02%"
"2010- 04- 12","1,710.30","1,730.37","1,733.30","1,707.92","416.64M","-0.82%"
"2010- 04- 09","1,724.47","1,735.00","1,737.45","1,710.11","452.53M","-0.54%"
"2010- 04- 08","1,733.78","1,722.13","1,733.78","1,719.51","362.55M","0.42%"
"2010- 04- 07","1,726.60","1,725.31","1,729.23","1,722.19","399.75M","0.03%"
"2010- 04- 06","1,726.09","1,732.98","1,732.98","1,719.14","420.90M","0.06%"
"2010- 04- 05","1,724.99","1,728.27","1,731.00","1,711.16","426.89M","0.09%"
"2010- 04- 02","1,723.49","1,723.29","1,725.39","1,715.56","355.09M","0.25%"
"2010- 04- 01","1,719.17","1,695.30","1,719.74","1,695.30","296.99M","1.55%"
"2010- 03- 31","1,692.85","1,702.58","1,704.81","1,689.92","328.32M","-0.43%"
"2010- 03- 30","1,700.19","1,705.51","1,705.57","1,693.83","321.04M","0.48%"
"2010- 03- 29","1,691.99","1,681.99","1,699.81","1,681.44","339.61M","-0.34%"
"2010- 03- 26","1,697.72","1,683.96","1,699.94","1,680.91","397.62M","0.55%"
"2010- 03- 25","1,688.39","1,680.42","1,688.39","1,677.05","389.69M","0.44%"
"2010- 03- 24","1,681.01","1,693.56","1,695.03","1,678.07","371.52M","-0.05%"
"2010- 03- 23","1,681.82","1,685.07","1,689.46","1,677.91","414.29M","0.55%"
"2010- 03- 22","1,672.67","1,678.51","1,680.94","1,664.88","347.60M","-0.80%"
"2010- 03- 19","1,686.11","1,682.52","1,687.68","1,677.62","441.81M","0.65%"
"2010- 03- 18","1,675.17","1,679.21","1,687.70","1,675.10","434.50M","-0.46%"
"2010- 03- 17","1,682.86","1,663.30","1,682.86","1,659.64","606.00M","2.11%"
"2010- 03- 16","1,648.01","1,654.52","1,655.27","1,642.86","512.56M","-0.09%"
"2010- 03- 15","1,649.50","1,663.86","1,667.44","1,643.51","343.81M","-0.80%"
"2010- 03- 12","1,662.74","1,666.59","1,666.86","1,653.03","369.51M","0.37%"
"2010- 03- 11","1,656.62","1,670.82","1,672.48","1,656.48","529.00M","-0.34%"
"2010- 03- 10","1,662.24","1,662.00","1,662.88","1,653.69","500.08M","0.08%"
"2010- 03- 09","1,660.83","1,657.94","1,661.26","1,653.98","634.71M","0.05%"
"2010- 03- 08","1,660.04","1,653.54","1,660.28","1,649.67","367.81M","1.56%"
"2010- 03- 05","1,634.57","1,624.80","1,634.57","1,624.74","344.08M","1.01%"
"2010- 03- 04","1,618.20","1,625.35","1,631.10","1,612.47","383.04M","-0.26%"
"2010- 03- 03","1,622.44","1,615.25","1,622.63","1,611.35","403.47M","0.45%"
"2010- 03- 02","1,615.12","1,612.43","1,620.15","1,608.97","415.10M","1.29%"
"2010- 02- 26","1,594.58","1,593.73","1,596.55","1,580.70","331.76M","0.45%"
